time,close,high,low,open,volume,ticker
2023-07-11,15171.796875,15378.685613373236,15137.316012375235,15378.685613373236,12479374,ACB
2023-07-12,15068.3525390625,15309.722140593094,15033.87167636165,15309.722140593094,6857162,ACB
2023-07-13,15171.796875,15171.796875,15033.871643188617,15171.796875,9178943,ACB
2023-07-14,15171.796875,15240.760381561853,15033.871643188617,15206.279518937088,9122208,ACB
2023-07-17,15171.796875,15206.279518937088,15102.83514975047,15206.279518937088,9058467,ACB
2023-07-18,15171.796875,15171.796875,15068.352505813382,15102.83514975047,11274639,ACB
2023-07-19,15171.796875,15275.241244186618,15137.316012375235,15171.796875,13234257,ACB
2023-07-20,15171.796875,15206.279518937088,15102.83514975047,15171.796875,8311411,ACB
2023-07-21,15240.7607421875,15240.7607421875,15102.835507112542,15171.797233993839,9349372,ACB
2023-07-24,15206.279296875,15309.72188323869,15137.315791320243,15240.76015899623,10656990,ACB
2023-07-25,15378.685546875,15516.610778089987,15171.796809396361,15171.796809396361,18161442,ACB
2023-07-26,15378.685546875,15482.12991561432,15309.722040611348,15378.685546875,7891710,ACB
2023-07-27,15275.2412109375,15413.166442448666,15206.279485838077,15378.685579898955,10854778,ACB
2023-07-28,15309.72265625,15447.647893011273,15206.280064663335,15309.72265625,12162119,ACB
2023-07-31,15826.943359375,15826.943359375,15482.129402117835,15516.610263449875,25558779,ACB
2023-08-01,15757.98046875,16033.830932767818,15689.016962089383,16033.830932767818,22765897,ACB
2023-08-02,15930.3876953125,15964.870341749018,15723.500723255649,15723.500723255649,16936185,ACB
2023-08-03,16171.7568359375,16206.23948135507,15861.425496366153,15895.906360471326,23152623,ACB
2023-08-04,16826.904296875,16826.904296875,16033.831936534616,16275.201552988763,24826499,ACB
2023-08-07,16378.64453125,16585.533265218088,16275.200164265956,16516.56976012463,199380100,ACB
2023-08-08,16137.275390625,16482.089363194944,16068.311883586079,16413.12585615602,20588970,ACB
2023-08-09,15999.349609375,16275.200065449404,15964.868747693768,16137.274837412202,20572875,ACB
2023-08-10,15792.4619140625,16102.795033516048,15792.4619140625,16033.831524311128,18689741,ACB
2023-08-11,15792.4619140625,15861.425423267418,15585.574949072525,15826.944559321155,12110805,ACB
2023-08-14,15895.90625,15895.906250000002,15723.500149359908,15792.461877090991,13806476,ACB
2023-08-15,15757.98046875,16033.830932767818,15757.98046875,15964.869207419526,8541819,ACB
2023-08-16,15792.4619140625,15895.906287213682,15723.500186169971,15757.981050116236,11105188,ACB
2023-08-17,15654.5361328125,15861.4248719234,15654.5361328125,15826.944009175693,13384479,ACB
2023-08-18,15102.8349609375,15654.535881285765,15102.8349609375,15654.535881285765,27047002,ACB
2023-08-21,15171.796875,15309.722106811383,15068.352505813382,15068.352505813382,10679069,ACB
2023-08-22,15206.279296875,15275.241021117461,14895.946193847038,15240.76015899623,12366719,ACB
2023-08-23,15068.3525390625,15378.685647307118,15068.3525390625,15309.722140593094,7332387,ACB
2023-08-24,15206.279296875,15344.204526672218,15068.352285765486,15068.352285765486,7023975,ACB
2023-08-25,15137.31640625,15206.279914606292,15068.35289789371,15171.797269771962,7112684,ACB
2023-08-28,15206.279296875,15240.76015899623,15137.315791320243,15171.796653441474,8139992,ACB
2023-08-29,15206.279296875,15309.72188323869,15137.315791320243,15206.279296875,7637046,ACB
2023-08-30,15482.1298828125,15516.610745215114,15206.279420966966,15206.279420966966,9947979,ACB
2023-08-31,15585.5751953125,15585.5751953125,15482.130820526978,15482.130820526978,10350684,ACB
2023-09-05,15689.017578125,15895.906324918096,15620.055850068897,15654.536714096948,13789455,ACB
2023-09-06,15826.943359375,15826.943359375,15585.573767426209,15689.01635142233,6319043,ACB
2023-09-07,15792.4619140625,15964.869796418601,15689.017540911316,15861.425423267418,16683217,ACB
2023-09-08,15689.017578125,15826.944596861993,15654.536714096948,15792.461951521547,10878646,ACB
2023-09-11,15413.166015625,15792.460837105298,15344.204292435275,15723.499113915572,13933860,ACB
2023-09-12,15689.017578125,15689.017578125,15309.722729879253,15413.1671032758,16462016,ACB
2023-09-13,15551.091796875,15723.4996736109,15482.130071230506,15689.017029476321,12548940,ACB
2023-09-14,15482.1298828125,15723.49948225542,15447.647239097576,15516.610745215114,8850170,ACB
